번호,기간,고급휘발유,휘발유,경유,실내등유
A0006617,20260629,0,1957,1898,0
A0006631,20260629,0,1898,1898,1650
A0004016,20260629,0,1975,1960,1600
A0006802,20260629,0,1899,1899,0
A0009717,20260629,0,2020,2020,0
A0006435,20260629,0,1898,1894,0
A0033182,20260629,0,1976,1965,0
A0006739,20260629,2324,1909,1903,0
A0006822,20260629,2343,1933,1903,1595
A0006797,20260629,2304,1913,1905,0
A0006796,20260629,2304,1913,1905,0
A0006593,20260629,2435,2006,1978,0
A0006787,20260629,2353,1927,1903,0
A0006444,20260629,2387,1893,1887,0
A0006635,20260629,0,2055,2045,0
A0006376,20260629,0,2088,2078,1750
A0004305,20260629,0,2037,2027,1600
A0006325,20260629,0,1985,1965,0
A0006801,20260629,2393,1938,1928,0
A0033515,20260629,0,1975,1965,0
A0006589,20260629,2427,1983,1969,0
A0033739,20260629,0,2099,2089,0
A0033740,20260629,0,2099,2089,0
A0000580,20260629,2395,1955,1955,0
A0006725,20260629,0,1899,1899,0
A0006316,20260629,0,1999,1995,1650
A0006368,20260629,0,1999,1997,1650
A0031916,20260629,2399,1999,1998,0
A0024439,20260629,0,1980,1995,1650
A0000081,20260629,0,1988,1959,1550
A0006311,20260629,0,2045,2035,1650
A0006645,20260629,0,1995,1995,1650
A0009183,20260629,2510,1998,1995,0
A0006315,20260629,0,2038,2038,0
A0006527,20260629,0,1905,1899,0
A0006686,20260629,0,1971,1967,1500
A0006442,20260629,0,1985,1980,1620
A0006405,20260629,0,1995,1995,0
A0006562,20260629,0,2047,1998,1750
A0006409,20260629,0,1993,1983,0
A0032667,20260629,0,1995,1985,1650
A0033420,20260629,0,1996,1978,0
A0006648,20260629,0,1997,1978,0
A0006594,20260629,0,1995,1995,1650
A0009801,20260629,0,1943,1927,1500
A0006327,20260629,0,1895,1895,1500
A0006657,20260629,0,1943,1927,0
A0006696,20260629,2458,1995,1973,0
A0006651,20260629,0,1995,1985,1650
A0006319,20260629,0,1964,1957,1780
A0006324,20260629,0,1995,1995,1600
A0001062,20260629,0,1957,1957,0
A0032691,20260629,0,1940,1920,0
A0006456,20260629,0,1955,1955,1520
A0006608,20260629,0,1940,1920,0
A0006762,20260629,2490,1893,1887,1550
A0006314,20260629,0,1893,1887,0
A0006598,20260629,0,2034,2023,1800
A0006526,20260629,0,1985,1965,1600
A0009281,20260629,0,2045,2035,0
A0003564,20260629,0,1993,1993,1510
A0006505,20260629,0,1977,1958,0
A0006352,20260629,2490,2045,2035,0
A0006552,20260629,0,1999,1998,0
A0006395,20260629,0,1955,1945,1650
A0006609,20260629,0,1989,1989,0
A0006689,20260629,0,1977,1958,1600
A0006468,20260629,0,1998,1983,1600
A0007697,20260629,0,2019,1979,1650
A0011485,20260629,0,1898,1889,0
A0006800,20260629,0,1919,1919,0
A0006454,20260629,0,2014,1994,0
A0033039,20260629,2289,1905,1899,0
A0006666,20260629,0,1990,1970,0
A0006600,20260629,0,1975,1965,0
A0006734,20260629,0,1899,1899,0
A0006366,20260629,0,1898,1889,1890
A0006807,20260629,0,1899,1899,0
A0006328,20260629,0,2044,2038,0
A0006719,20260629,0,1980,1970,1600
A0006439,20260629,0,1957,1957,1500
A0006624,20260629,0,1947,1937,1640
A0006529,20260629,0,1899,1899,0
A0006354,20260629,0,2015,2005,0
A0013164,20260629,2494,1899,1899,1750
A0033309,20260629,2394,1984,1974,0
A0000583,20260629,0,1969,1965,1600
A0006592,20260629,0,1975,1955,1650
A0006671,20260629,0,1967,1947,1600
A0011876,20260629,0,1956,1946,1700
A0004964,20260629,0,1978,1958,1700
A0010074,20260629,0,2025,2015,0
A0004570,20260629,2394,1894,1884,0
A0011909,20260629,0,2095,2085,1745
A0004772,20260629,0,1879,1863,0
A0004474,20260629,0,1988,1978,0
A0006959,20260629,0,2068,2018,1799
A0004753,20260629,0,1894,1884,0
A0004683,20260629,0,1958,1948,0
A0004281,20260629,0,2038,2088,1700
A0006118,20260629,0,2027,2017,1590
A0004626,20260629,0,2047,2038,0
A0009752,20260629,0,1978,1958,1530
A0004744,20260629,0,1959,1939,1650
A0004733,20260629,0,1938,1938,1700
A0000471,20260629,2385,1865,1865,0
A0006092,20260629,2398,1895,1965,0
A0033464,20260629,2358,1908,1880,0
A0005907,20260629,0,1850,1820,1550
A0006291,20260629,0,1895,1849,0
A0005958,20260629,0,1864,1864,0
A0000250,20260629,0,1863,1870,0
A0006057,20260629,0,1869,1819,0
A0005925,20260629,0,2089,2039,1650
A0010259,20260629,2385,1869,1869,0
A0000041,20260629,2385,1869,1869,0
A0006069,20260629,2484,2064,1993,1630
A0006107,20260629,2295,1859,1858,0
A0005850,20260629,2389,1869,1869,1590
A0005865,20260629,2385,1865,1865,0
A0006099,20260629,0,1869,1869,0
A0002002,20260629,2430,1985,1985,0
A0005921,20260629,0,1968,1989,0
A0006091,20260629,0,1868,1868,1530
A0005818,20260629,2360,1938,2001,0
A0006062,20260629,0,1957,1937,0
A0006101,20260629,0,1998,1998,0
A0006063,20260629,2437,1987,1987,0
A0005891,20260629,0,1869,1869,0
A0005915,20260629,0,1975,1969,1690
A0005867,20260629,0,1892,1879,0
A0006022,20260629,0,1983,1939,1720
A0005910,20260629,2429,1968,1938,1800
A0000537,20260629,0,1977,1966,1600
A0006082,20260629,0,1987,1987,1520
A0005920,20260629,0,1967,1957,0
A0033411,20260629,2330,0,1830,0
A0005963,20260629,0,1968,1938,0
A0033302,20260629,2460,1948,1920,0
A0000363,20260629,0,2198,2188,1800
A0005806,20260629,2340,1859,1858,1720
A0006106,20260629,0,1998,1998,0
A0005926,20260629,2295,1859,1798,0
A0006061,20260629,2437,1987,1987,0
A0000494,20260629,2440,1895,1899,1509
A0033306,20260629,2320,1908,1910,0
A0005902,20260629,0,2098,2055,1830
A0006038,20260629,2498,2004,1983,0
A0000934,20260629,0,2029,2028,1600
A0005980,20260629,2499,2034,2034,0
A0001703,20260629,2333,1953,1953,0
A0033725,20260629,2450,1968,1968,0
A0005789,20260629,2470,2043,2042,1700
A0005791,20260629,2460,2059,2055,0
A0009031,20260629,2597,1998,1998,0
A0005758,20260629,2310,1924,1924,0
A0005768,20260629,2308,1942,1913,0
A0005765,20260629,2272,1937,1913,0
A0005769,20260629,2305,1948,1948,0
A0009029,20260629,2499,1878,1878,0
A0005783,20260629,2395,1887,1877,0
A0005784,20260629,2395,1887,1877,0
A0005793,20260629,0,2088,2088,0
A0005743,20260629,0,1998,1958,1600
A0005802,20260629,0,1945,1945,0
A0005759,20260629,0,1879,1819,1510
A0004171,20260629,2395,1874,1813,0
A0005682,20260629,0,2047,2068,1785
A0005797,20260629,2358,1898,1898,0
A0005056,20260629,2268,1933,1913,0
A0005750,20260629,2454,2044,1943,0
A0001932,20260629,2499,1998,1998,0
A0005788,20260629,2450,1934,1923,0
A0005755,20260629,2450,1948,1942,0
A0005746,20260629,2383,2017,1988,0
A0005763,20260629,0,1994,1993,1638
A0009030,20260629,2290,1869,1869,0
A0005761,20260629,2445,1884,1873,0
A0002853,20260629,0,1989,1978,0
A0005747,20260629,2457,1955,1955,0
A0033392,20260629,2398,1869,1869,0
A0005669,20260629,0,1965,1965,1600
A0009028,20260629,0,1969,1959,1600
A0033120,20260629,0,1998,1996,0
A0009025,20260629,2345,1995,1945,0
A0005705,20260629,2453,1987,1977,0
A0005745,20260629,2365,1895,1895,0
A0005615,20260629,2369,1994,1993,0
A0005722,20260629,0,2010,1990,0
A0005725,20260629,0,1894,1895,0
A0005775,20260629,2499,1878,1878,0
A0009402,20260629,2359,1895,1895,0
A0005643,20260629,2527,2057,1997,0
A0005642,20260629,0,1895,1894,0
A0005627,20260629,0,1899,1899,0
A0005776,20260629,2450,1934,1923,1778
A0005711,20260629,2453,1998,1988,0
A0005801,20260629,0,1999,1997,0
A0009174,20260629,2408,1895,1899,1450
A0005640,20260629,2470,2075,2075,1550
A0005719,20260629,2345,1985,1935,0
A0005782,20260629,2470,2059,2049,0
A0001937,20260629,0,1955,1955,0
A0005792,20260629,0,1895,1894,0
A0005739,20260629,2465,2035,2012,0
A0007548,20260629,0,1897,1875,0
A0011824,20260629,2365,1948,1938,0
A0002664,20260629,0,2059,2049,0
A0032660,20260629,0,1883,1873,0
A0002683,20260629,0,1883,1873,0
A0002690,20260629,0,1898,1928,1800
A0007547,20260629,0,1864,1864,0
A0002304,20260629,0,1925,1895,0
A0007240,20260629,0,1948,1938,0
A0002043,20260629,0,1895,1885,0
A0007525,20260629,0,1967,1958,1520
A0007523,20260629,2473,1932,1919,0
A0007480,20260629,2358,1933,1934,0
A0007528,20260629,2326,1933,1926,1630
A0002719,20260629,2385,1888,1878,0
A0002737,20260629,0,1995,1995,0
A0004488,20260629,2325,1868,1868,0
A0002569,20260629,0,1882,1872,0
A0032871,20260629,0,1895,1895,0
A0003659,20260629,0,2039,1999,0
A0001207,20260629,0,1896,1894,0
A0002682,20260629,2380,1868,1868,0
A0002570,20260629,2350,1899,1980,0
A0033261,20260629,2436,1928,1898,1700
A0033021,20260629,2380,1888,1878,0
A0007453,20260629,2365,1948,1938,0
A0002066,20260629,0,1887,1878,1680
A0002511,20260629,0,1868,1868,0
A0002006,20260629,2365,1895,1895,0
A0002167,20260629,2383,1943,1933,1700
A0007367,20260629,0,1894,1874,0
A0007526,20260629,0,1967,1958,0
A0007191,20260629,2490,2055,2045,1700
A0002014,20260629,2398,1898,1897,0
A0007522,20260629,2425,1887,1906,0
A0002506,20260629,0,1895,1885,0
A0002081,20260629,2330,1894,1884,0
A0002523,20260629,0,1887,1887,0
A0002666,20260629,0,1919,1899,1700
A0005091,20260629,2400,1918,1898,1700
A0007242,20260629,2365,1948,1938,0
A0007245,20260629,2365,1948,1938,0
A0007545,20260629,0,1868,1868,0
A0007536,20260629,0,1868,1868,1850
A0002504,20260629,0,1868,1868,0
A0007330,20260629,0,2057,2047,0
A0015507,20260629,0,1998,1998,0
A0007482,20260629,2295,1978,1955,0
A0002537,20260629,0,1988,1998,0
A0027333,20260629,0,1895,1949,1800
A0002029,20260629,2395,1888,1884,0
A0007166,20260629,0,1885,1875,0
A0002033,20260629,0,2038,2038,0
A0033434,20260629,2439,1925,1895,0
A0007182,20260629,2365,1885,1865,0
A0002078,20260629,2290,1870,1860,0
A0002023,20260629,0,1898,1928,0
A0002308,20260629,2438,1958,1938,1700
A0010119,20260629,0,1887,1878,0
A0000190,20260629,0,1878,1865,0
A0007149,20260629,0,1995,1887,0
A0001812,20260629,0,1995,1995,1650
A0017370,20260629,0,1883,1873,0
A0002739,20260629,0,1867,1868,0
A0007199,20260629,2365,1948,1938,0
A0007404,20260629,0,1894,1980,0
A0002076,20260629,0,1925,1895,0
A0008138,20260629,0,1998,1998,0
A0002669,20260629,2465,2038,2038,0
A0007058,20260629,2377,1887,1887,0
A0007227,20260629,0,1895,1875,1700
A0002516,20260629,2400,1918,1898,0
A0002535,20260629,0,1895,1908,0
A0007398,20260629,2425,1895,1899,1520
A0033107,20260629,0,1924,1914,1640
A0004383,20260629,0,1938,1928,0
A0002183,20260629,0,1883,1873,0
A0000248,20260629,0,1925,1895,0
A0000708,20260629,0,1885,1875,0
A0002134,20260629,0,1895,1895,0
A0002740,20260629,0,1988,1889,0
A0002501,20260629,2394,1949,1937,1640
A0002612,20260629,0,2027,1917,0
A0002742,20260629,0,1878,1878,0
A0007508,20260629,2295,1895,1875,0
A0007533,20260629,2350,1899,1899,0
A0002120,20260629,0,1928,1928,1500
A0007164,20260629,0,2034,2023,0
A0007385,20260629,0,1958,1918,1630
A0002302,20260629,0,1975,1975,0
A0008421,20260629,0,1865,1848,1630
A0008323,20260629,0,1938,1938,1500
A0008437,20260629,0,1977,1917,0
A0008388,20260629,0,1937,1937,1650
A0033368,20260629,0,2049,2049,1750
A0000711,20260629,2395,1989,1989,1730
A0008414,20260629,0,1897,1897,0
A0008316,20260629,2395,1977,1939,0
A0005812,20260629,0,1867,1846,0
A0009065,20260629,0,1949,2025,0
A0006885,20260629,0,1934,1929,0
A0008405,20260629,0,1965,1948,1717
A0008407,20260629,2368,1968,1948,0
A0007070,20260629,2358,1934,1934,1595
A0006881,20260629,0,1852,1842,0
A0008438,20260629,0,1834,1824,0
A0008396,20260629,2417,2037,1997,0
A0008379,20260629,0,1867,1847,0
A0008418,20260629,0,1859,1809,1529
A0007082,20260629,2449,1859,1809,1489
A0007076,20260629,0,1849,1799,0
A0007075,20260629,0,1859,1799,1499
A0008433,20260629,0,1865,1848,0
A0006834,20260629,0,1929,1919,0
A0008428,20260629,0,1898,1877,0
A0006880,20260629,0,1947,1927,1700
A0006967,20260629,2333,1865,1848,0
A0008431,20260629,2333,1865,1848,0
A0008430,20260629,2374,1898,1898,0
A0008371,20260629,2300,1865,1848,1650
A0008333,20260629,0,1969,1959,1650
A0006968,20260629,0,1884,1873,0
A0033242,20260629,0,1999,1999,0
A0008314,20260629,0,1899,1879,1709
A0008372,20260629,0,1898,1875,0
A0009709,20260629,0,1939,1938,0
A0008368,20260629,0,2095,2095,1680
A0001307,20260629,0,1894,1862,0
A0008434,20260629,2385,1949,1946,1800
A0006869,20260629,0,1954,1943,1630
A0007077,20260629,0,1849,1838,0
A0008308,20260629,0,1967,1939,0
A0006861,20260629,0,1984,1976,0
A0008424,20260629,0,1995,1997,0
A0008291,20260629,0,1978,1958,0
A0033137,20260629,0,1898,1878,0
A0009185,20260629,0,1834,1823,0
A0008401,20260629,0,1977,1827,0
A0006970,20260629,0,1898,1898,0
A0008406,20260629,0,1898,1877,0
A0001160,20260629,0,1843,1823,0
A0010054,20260629,0,2034,2023,1650
A0008425,20260629,0,1867,1846,0
A0008298,20260629,0,1907,1957,0
A0008302,20260629,0,1865,1887,0
A0008351,20260629,0,1857,1848,0
A0021796,20260629,2398,1898,1875,1600
A0008312,20260629,0,1884,1873,0
A0008287,20260629,0,1998,1998,1600
A0006878,20260629,2295,1895,1875,0
A0007062,20260629,2369,1889,1889,1595
A0019284,20260629,0,1965,1879,0
A0006860,20260629,0,1849,1838,0
A0033229,20260629,2419,1949,1894,0
A0033228,20260629,2419,1949,1894,0
A0008274,20260629,0,1898,1878,0
A0006862,20260629,2300,1865,1848,0
A0001093,20260629,0,1919,1919,1700
A0008436,20260629,2397,1857,1848,0
A0008337,20260629,0,1898,1878,0
A0008288,20260629,0,1867,1839,0
A0006864,20260629,0,1938,1938,0
A0001901,20260629,2293,1849,1838,0
A0007111,20260629,0,1967,1947,0
A0008278,20260629,0,1865,1847,0
A0008432,20260629,2500,1895,1899,1874
A0008427,20260629,2460,1895,1899,1600
A0006846,20260629,0,1979,1969,0
A0033660,20260629,0,1917,1917,0
A0007651,20260629,0,1884,1873,1500
A0008357,20260629,0,1867,1857,0
