번호,지역,상호,주소,기간,상표,셀프여부,고급휘발유,휘발유,경유,실내등유
A0033106,경기 고양시,㈜삼표에너지 삼송주유소,경기 고양시 덕양구 신원1로 93,20260629,GS칼텍스,셀프,2454,1999,1953,0
A0005430,경기 고양시,㈜세영TMS 통일로일품주유소,경기 고양시 덕양구 통일로 862 (관산동),20260629,S-OIL,셀프,0,1955,1918,1600
A0005566,경기 고양시,㈜아동파크 고봉산주유소,경기 고양시 일산동구 고봉로 464,20260629,SK에너지,셀프,2264,1844,1844,0
A0005523,경기 고양시,㈜엘아이지휴세코 희망주유소/충전소,경기 고양시 일산서구 경의로 910,20260629,HD현대오일뱅크,셀프,0,1892,1887,1590
A0005556,경기 고양시,㈜자연에너지 산유주유소,경기 고양시 덕양구 중앙로 107,20260629,HD현대오일뱅크,셀프,0,1844,1844,0
A0005530,경기 고양시,㈜제이원에너지 신동일산주유소,경기 고양시 일산동구 성현로 469 (사리현동),20260629,SK에너지,일반,0,1999,2009,0
A0033168,경기 고양시,㈜중흥에너지 한양주유소,경기 고양시 덕양구 권율대로 593 (원흥동),20260629,S-OIL,셀프,0,1965,1955,0
A0005522,경기 고양시,㈜케이엘페트로 고양셀프주유소,경기 고양시 덕양구 충장로 210,20260629,HD현대오일뱅크,셀프,2398,1971,1981,0
A0005434,경기 고양시,㈜탄현마을주유소,경기 고양시 일산서구 탄중로 251,20260629,SK에너지,셀프,2312,1971,1961,0
A0005297,경기 고양시,개나리주유소,경기 고양시 덕양구 보광로 126 (벽제동),20260629,알뜰주유소,셀프,0,1911,1911,0
A0005519,경기 고양시,경일석유(주) 신우주유소,경기도 고양시 일산동구  고양대로 952 (식사동),20260629,GS칼텍스,셀프,2363,1971,1971,0
A0005477,경기 고양시,경일석유(주)신신주유소,경기 고양시 일산동구 백마로 32,20260629,GS칼텍스,셀프,0,1844,1844,0
A0005144,경기 고양시,고일주유소,경기 고양시 일산동구 백마로 455 (풍동),20260629,SK에너지,일반,2497,1987,1927,0
A0005367,경기 고양시,구도일주유소 송포,경기 고양시 일산서구 송산로 494 (덕이동),20260629,S-OIL,일반,0,1971,1961,1650
A0007113,경기 고양시,구산주유소,경기 고양시 일산서구 구산로 120,20260629,SK에너지,일반,0,1968,1965,0
A0005109,경기 고양시,꽃마을주유소,경기도 고양시 덕양구  고양대로 1242 (주교동),20260629,GS칼텍스,셀프,2374,1971,1961,0
A0005066,경기 고양시,남선석유(주)성현셀프주유소,경기 고양시 일산동구 성현로 78 (성석동),20260629,S-OIL,셀프,2500,1971,1961,1600
A0005470,경기 고양시,농협하나로유통,경기 고양시 일산서구  대화로 362 (대화동),20260629,NH-OIL,셀프,0,1948,1935,1550
A0005481,경기 고양시,대성석유(주)스타주유소,경기 고양시 덕양구 은빛로 59,20260629,GS칼텍스,셀프,2345,1949,1949,1700
A0005277,경기 고양시,대신석유(주)대자주유소,경기 고양시 덕양구  통일로 499,20260629,SK에너지,셀프,0,1837,1827,0
A0005311,경기 고양시,대화주유소,경기 고양시 일산서구 대화로37번길 58,20260629,HD현대오일뱅크,셀프,0,1989,1979,1590
